14.000	7.000	37.010	0.000	0.000	0.000	0.000
14.000	7.000	37.267	0.000	0.000	0.000	0.000
14.000	7.000	37.273	0.000	0.000	0.000	0.000
14.000	7.000	37.376	0.000	0.000	0.000	0.000
14.000	7.000	37.479	0.000	0.000	0.000	0.000
14.000	7.000	37.582	0.000	0.000	0.000	0.000
14.000	7.000	37.686	0.000	0.000	0.000	0.000
14.000	7.000	37.787	0.000	0.000	0.000	0.000
14.000	7.000	37.891	0.000	0.000	0.000	0.000
14.000	7.000	37.994	0.000	0.000	0.000	0.000
14.000	7.000	38.098	0.000	0.000	0.000	0.000
14.000	7.000	38.200	0.000	0.000	0.000	0.000
14.000	7.000	38.303	0.000	0.000	0.000	0.000
14.000	7.000	38.405	0.000	0.000	0.000	0.000
14.000	7.000	38.509	0.000	0.000	0.000	0.000
14.000	7.000	38.611	0.000	0.000	0.000	0.000
14.000	7.000	38.715	0.000	0.000	0.000	0.000
14.000	7.000	38.817	0.000	0.000	0.000	0.000
14.000	7.000	38.921	0.000	0.000	0.000	0.000
14.000	7.000	39.024	0.000	0.000	0.000	0.000
14.000	7.000	39.126	0.000	0.000	0.000	0.000
14.000	7.000	39.230	0.000	0.000	0.000	0.000
14.000	7.000	39.332	0.000	0.000	0.000	0.000
14.000	7.000	39.435	0.000	0.000	0.000	0.000
14.000	7.000	39.538	0.000	0.000	0.000	0.000
14.000	7.000	39.640	0.000	0.000	0.000	0.000
14.000	7.000	39.743	0.000	0.000	0.000	0.000
14.000	7.000	39.846	0.000	0.000	0.000	0.000
14.000	7.000	39.950	0.000	0.000	0.000	0.000
14.000	7.000	40.052	0.000	0.000	0.000	0.000
14.000	7.000	40.155	0.000	0.000	0.000	0.000
14.000	7.000	40.258	0.000	0.000	0.000	0.000
14.000	7.000	40.361	0.000	0.000	0.000	0.000
14.000	7.000	40.465	0.000	0.000	0.000	0.000
14.000	7.000	40.567	0.000	0.000	0.000	0.000
14.000	7.000	40.670	0.000	0.000	0.000	0.000
14.000	7.000	40.774	0.000	0.000	0.000	0.000
14.000	7.000	40.875	0.000	0.000	0.000	0.000
14.000	7.000	40.979	0.000	0.000	0.000	0.000
14.000	7.000	41.081	0.000	0.000	0.000	0.000
14.000	7.000	41.185	0.000	0.000	0.000	0.000
14.000	7.000	41.287	0.000	0.000	0.000	0.000
14.000	7.000	41.391	0.000	0.000	0.000	0.000
14.000	7.000	41.494	0.000	0.000	0.000	0.000
14.000	7.000	41.597	0.000	0.000	0.000	0.000
14.000	7.000	41.700	0.000	0.000	0.000	0.000
14.000	7.000	41.803	0.000	0.000	0.000	0.000
14.000	7.000	41.906	0.000	0.000	0.000	0.000
14.000	7.000	42.008	0.000	0.000	0.000	0.000
14.000	7.000	42.111	0.000	0.000	0.000	0.000
14.000	7.000	42.214	0.000	0.000	0.000	0.000
14.000	7.000	42.316	0.000	0.000	0.000	0.000
14.000	7.000	42.420	0.000	0.000	0.000	0.000
14.000	7.000	42.524	0.000	0.000	0.000	0.000
14.000	7.000	42.626	0.000	0.000	0.000	0.000
14.000	7.000	42.729	0.000	0.000	0.000	0.000
14.000	7.000	42.832	0.000	0.000	0.000	0.000
14.000	7.000	42.936	0.000	0.000	0.000	0.000
14.000	7.000	43.038	0.000	0.000	0.000	0.000
14.000	7.000	43.141	0.000	0.000	0.000	0.000
14.000	7.000	43.243	0.000	0.000	0.000	0.000
14.000	7.000	43.347	0.000	0.000	0.000	0.000
14.000	7.000	43.450	0.000	0.000	0.000	0.000
14.000	7.000	43.552	0.000	0.000	0.000	0.000
14.000	7.000	43.655	0.000	0.000	0.000	0.000
14.000	7.000	43.759	0.000	0.000	0.000	0.000
14.000	7.000	43.860	0.000	0.000	0.000	0.000
14.000	7.000	43.964	0.000	0.000	0.000	0.000
14.000	7.000	44.067	0.000	0.000	0.000	0.000
14.000	7.000	44.169	0.000	0.000	0.000	0.000
14.000	7.000	44.273	0.000	0.000	0.000	0.000
14.000	7.000	44.376	0.000	0.000	0.000	0.000
14.000	7.000	44.479	0.000	0.000	0.000	0.000
14.000	7.000	44.583	0.000	0.000	0.000	0.000
14.000	7.000	44.684	0.000	0.000	0.000	0.000
14.000	7.000	44.788	0.000	0.000	0.000	0.000
14.000	7.000	44.890	0.000	0.000	0.000	0.000
14.000	7.000	44.993	0.000	0.000	0.000	0.000
14.000	7.000	45.096	0.000	0.000	0.000	0.000
14.000	7.000	45.200	0.000	0.000	0.000	0.000
14.000	7.000	45.303	0.000	0.000	0.000	0.000
14.000	7.000	45.442	0.000	0.000	0.000	0.000
14.000	7.000	45.509	0.000	0.000	0.000	0.000
14.000	7.000	45.611	0.000	0.000	0.000	0.000
14.000	7.000	45.715	0.000	0.000	0.000	0.000
14.000	7.000	45.817	0.000	0.000	0.000	0.000
14.000	7.000	45.921	0.000	0.000	0.000	0.000
14.000	7.000	46.023	0.000	0.000	0.000	0.000
